分类: 央视频道, 名称: CCTV-1, 有效: 6, IPv4: 14, IPv6: 0, 最小延迟: 11 ms, 最高速率: 40.20 MiB/s, 平均速率: 14.98 MiB/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-2, 有效: 6, IPv4: 6, IPv6: 0, 最小延迟: 14 ms, 最高速率: 27.41 MiB/s, 平均速率: 22.68 MiB/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-3, 有效: 6, IPv4: 9, IPv6: 0, 最小延迟: 14 ms, 最高速率: 21.18 MiB/s, 平均速率: 7.78 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-4, 有效: 6, IPv4: 12, IPv6: 0, 最小延迟: 21 ms, 最高速率: 17.89 MiB/s, 平均速率: 9.17 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-5, 有效: 5, IPv4: 28, IPv6: 0, 最小延迟: 21 ms, 最高速率: 13.82 MiB/s, 平均速率: 5.07 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV-5+, 有效: 4, IPv4: 33, IPv6: 0, 最小延迟: 26 ms, 最高速率: 9.28 MiB/s, 平均速率: 2.84 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-6, 有效: 6, IPv4: 9, IPv6: 0, 最小延迟: 15 ms, 最高速率: 30.62 MiB/s, 平均速率: 19.49 MiB/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-7, 有效: 6, IPv4: 8, IPv6: 0, 最小延迟: 21 ms, 最高速率: 14.92 MiB/s, 平均速率: 7.14 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-8, 有效: 5, IPv4: 7, IPv6: 0, 最小延迟: 15 ms, 最高速率: 40.70 MiB/s, 平均速率: 19.13 MiB/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-9, 有效: 6, IPv4: 21, IPv6: 0, 最小延迟: 22 ms, 最高速率: 19.68 MiB/s, 平均速率: 9.53 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-10, 有效: 6, IPv4: 17, IPv6: 0, 最小延迟: 21 ms, 最高速率: 18.02 MiB/s, 平均速率: 9.10 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-11, 有效: 5, IPv4: 32, IPv6: 0, 最小延迟: 15 ms, 最高速率: 19.75 MiB/s, 平均速率: 9.08 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 35.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-12, 有效: 5, IPv4: 6, IPv6: 0, 最小延迟: 15 ms, 最高速率: 14.52 MiB/s, 平均速率: 7.98 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-13, 有效: 5, IPv4: 27, IPv6: 0, 最小延迟: 15 ms, 最高速率: 18.84 MiB/s, 平均速率: 7.67 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: ac3
分类: 央视频道, 名称: CCTV-14, 有效: 6, IPv4: 6, IPv6: 0, 最小延迟: 15 ms, 最高速率: 21.13 MiB/s, 平均速率: 9.10 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-15, 有效: 5, IPv4: 7, IPv6: 0, 最小延迟: 15 ms, 最高速率: 26.96 MiB/s, 平均速率: 22.21 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-16, 有效: 3, IPv4: 22, IPv6: 0, 最小延迟: 15 ms, 最高速率: 1.59 MiB/s, 平均速率: 0.89 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-17, 有效: 5, IPv4: 10, IPv6: 0, 最小延迟: 15 ms, 最高速率: 47.44 MiB/s, 平均速率: 25.03 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CETV1, 有效: 5, IPv4: 6, IPv6: 0, 最小延迟: 21 ms, 最高速率: 21.20 MiB/s, 平均速率: 12.84 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CETV2, 有效: 0, IPv4: 33, IPv6: 0, 最小延迟: 21 ms, 最高速率: 21.52 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CETV3, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: 15 ms, 最高速率: 27.81 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CETV4, 有效: 1, IPv4: 38, IPv6: 0, 最小延迟: 15 ms, 最高速率: 27.27 MiB/s, 平均速率: 27.27 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-4K超高清, 有效: 0, IPv4: 6, IPv6: 0, 最小延迟: 758 ms, 最高速率: 0.12 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-4欧洲, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-4美洲, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-兵器科技, 有效: 4, IPv4: 11, IPv6: 0, 最小延迟: 22 ms, 最高速率: 53.59 MiB/s, 平均速率: 35.70 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-第一剧场, 有效: 6, IPv4: 9, IPv6: 0, 最小延迟: 21 ms, 最高速率: 44.07 MiB/s, 平均速率: 21.54 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-风云足球, 有效: 1, IPv4: 6, IPv6: 0, 最小延迟: 22 ms, 最高速率: 15.14 MiB/s, 平均速率: 15.14 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-世界地理, 有效: 2, IPv4: 4, IPv6: 0, 最小延迟: 23 ms, 最高速率: 1.66 MiB/s, 平均速率: 1.46 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-央视台球, 有效: 2, IPv4: 6, IPv6: 0, 最小延迟: 22 ms, 最高速率: 12.05 MiB/s, 平均速率: 6.52 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
