🕘️更新时间,#genre#
2025-03-15 06:38:05,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8

央视频道,#genre#
CCTV-1 综合,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8
CCTV-1 综合,http://58.243.224.244:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1 综合,http://202.168.187.208:9089/tsfile/live/1003_1.m3u8
CCTV-1 综合,http://211.67.191.23/hls/cctv1hd/index.m3u8
CCTV-1 综合,http://1.24.39.180:9003/hls/1/index.m3u8
CCTV-1 综合,http://36.32.174.67:60080/newlive/live/hls/14/live.m3u8
CCTV-2 财经,http://58.243.224.244:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2 财经,http://211.67.191.23/hls/cctv2hd/index.m3u8
CCTV-2 财经,http://1.24.39.180:9003/hls/2/index.m3u8
CCTV-2 财经,http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8
CCTV-2 财经,http://58.243.224.242:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2 财经,http://120.238.94.10:9901/tsfile/live/1019_1.m3u8
CCTV-3 综艺,http://211.67.191.23/hls/cctv3hd/index.m3u8
CCTV-3 综艺,http://1.24.39.180:9003/hls/3/index.m3u8
CCTV-3 综艺,http://120.238.94.10:9901/tsfile/live/1020_1.m3u8
CCTV-3 综艺,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
CCTV-3 综艺,http://110.53.52.63:8888/newlive/live/hls/4/live.m3u8
CCTV-4 中文国际,http://58.243.224.244:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4 中文国际,http://211.67.191.23/hls/cctv4hd/index.m3u8
CCTV-4 中文国际,http://1.24.39.180:9003/hls/4/index.m3u8
CCTV-4 中文国际,http://36.32.174.67:60080/newlive/live/hls/4/live.m3u8
CCTV-4 中文国际,http://58.243.224.242:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4 中文国际,http://120.238.94.10:9901/tsfile/live/1021_1.m3u8
CCTV-5 体育,http://1.180.2.93:9901/tsfile/live/1027_1.m3u8
CCTV-5 体育,http://211.67.191.23/hls/cctv5hd/index.m3u8
CCTV-5 体育,http://1.24.39.180:9003/hls/5/index.m3u8
CCTV-5 体育,http://api3.52tb.xyz/info?id=7&token=20230402fxrjwi
CCTV-5 体育,http://120.238.94.10:9901/tsfile/live/1022_1.m3u8
CCTV-5 体育,https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8
CCTV-5+ 体育赛事,http://211.67.191.23/hls/cctv5phd/index.m3u8
CCTV-5+ 体育赛事,http://120.238.94.10:9901/tsfile/live/1023_1.m3u8
CCTV-5+ 体育赛事,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+ 体育赛事,https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8
CCTV-5+ 体育赛事,http://110.53.52.63:8888/newlive/live/hls/7/live.m3u8
CCTV-5+ 体育赛事,http://39.170.52.236:808/hls/18/index.m3u8
CCTV-6 电影,http://211.67.191.23/hls/cctv6hd/index.m3u8
CCTV-6 电影,http://1.24.39.180:9003/hls/6/index.m3u8
CCTV-6 电影,https://api.olelive.com/dis/live/CCTV6HD/hls.m3u8
CCTV-6 电影,http://110.53.52.63:8888/newlive/live/hls/8/live.m3u8
CCTV-6 电影,http://39.170.52.236:808/hls/6/index.m3u8
CCTV-6 电影,http://221.226.51.220:50081/newlive/live/hls/6/live.m3u8
CCTV-7 国防军事,http://58.243.224.244:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7 国防军事,http://211.67.191.23/hls/cctv7hd/index.m3u8
CCTV-7 国防军事,http://1.24.39.180:9003/hls/7/index.m3u8
CCTV-7 国防军事,http://218.13.14.6:60050/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7 国防军事,http://58.243.224.242:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7 国防军事,http://120.238.94.10:9901/tsfile/live/1025_1.m3u8
CCTV-8 电视剧,http://211.67.191.23/hls/cctv8hd/index.m3u8
CCTV-8 电视剧,http://1.24.39.180:9003/hls/8/index.m3u8
CCTV-8 电视剧,http://120.238.94.10:9901/tsfile/live/1026_1.m3u8
CCTV-8 电视剧,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8 电视剧,https://api.olelive.com/dis/live/CCTV8HD/hls.m3u8
CCTV-8 电视剧,http://110.53.52.63:8888/newlive/live/hls/10/live.m3u8
CCTV-9 纪录,http://58.243.224.244:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-9 纪录,http://211.67.191.23/hls/cctv9hd/index.m3u8
CCTV-9 纪录,http://1.24.39.180:9003/hls/9/index.m3u8
CCTV-9 纪录,http://58.243.224.242:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-9 纪录,http://120.238.94.10:9901/tsfile/live/1027_1.m3u8
CCTV-9 纪录,https://api.olelive.com/dis/live/CCTV9HD/hls.m3u8
